"Digevej 12, 4872 Idestrup"
"Jasminvej 30, 4872 Idestrup"
"Sneppevejen 28, 4872 Idestrup"
"Tangetvej 29, 4872 Idestrup"
"Digevej 16, 4872 Idestrup"
"Jasminvej 31, 4872 Idestrup"
"Sneppevejen 29, 4872 Idestrup"
"Tangetvej 31, 4872 Idestrup"
"Jasminvej 32, 4872 Idestrup"
"Sneppevejen 30, 4872 Idestrup"
"Tangetvej 35, 4872 Idestrup"
"Jasminvej 33, 4872 Idestrup"
"Jasminvej 34, 4872 Idestrup"
"Skolevej 2, 4872 Idestrup"
"Sneppevejen 32, 4872 Idestrup"
"Jasminvej 35, 4872 Idestrup"
"Sneppevejen 33, 4872 Idestrup"
"Ternevejen 1A, 4872 Idestrup"
"Digevej 30, 4872 Idestrup"
"Jasminvej 36, 4872 Idestrup"
"Kirkevej 30P, 4872 Idestrup"
"Norvej 1, 4872 Idestrup"
"Ternevejen 1B, 4872 Idestrup"
"Jasminvej 37, 4872 Idestrup"
"Norvej 2, 4872 Idestrup"
"Sneppevejen 35, 4872 Idestrup"
"Ternevejen 1C, 4872 Idestrup"
"Jasminvej 38, 4872 Idestrup"
"Norvej 3, 4872 Idestrup"
"Ternevejen 3, 4872 Idestrup"
"Jasminvej 39, 4872 Idestrup"
"Norvej 4, 4872 Idestrup"
"Ternevejen 5, 4872 Idestrup"
"Jasminvej 40, 4872 Idestrup"
"Norvej 5, 4872 Idestrup"
"Ternevejen 7, 4872 Idestrup"
"Havlykkevej 2, 4872 Idestrup"
"Jasminvej 41, 4872 Idestrup"
"Ternevejen 9, 4872 Idestrup"
"Digevej 42, 4872 Idestrup"
"Norvej 7, 4872 Idestrup"
"Ternevejen 11, 4872 Idestrup"
"Jasminvej 43, 4872 Idestrup"
"Ternevejen 13, 4872 Idestrup"
"Havlykkevej 5, 4872 Idestrup"
"Jasminvej 44, 4872 Idestrup"
"Skovduevejen 1, 4872 Idestrup"
"Ternevejen 14, 4872 Idestrup"
"Vestergade 1, 4872 Idestrup"
"Jasminvej 45, 4872 Idestrup"
"Skovduevejen 2, 4872 Idestrup"
"Ternevejen 15, 4872 Idestrup"
"Jasminvej 46, 4872 Idestrup"
"Skovduevejen 3, 4872 Idestrup"
"Ternevejen 16, 4872 Idestrup"
"Vestergade 3, 4872 Idestrup"
"Jasminvej 47, 4872 Idestrup"
"Skovduevejen 4, 4872 Idestrup"
"Ternevejen 17, 4872 Idestrup"
"Vestergade 4, 4872 Idestrup"
"Havlykkevej 13, 4872 Idestrup"
"Jasminvej 48, 4872 Idestrup"
"Skovduevejen 5, 4872 Idestrup"
"Ternevejen 18, 4872 Idestrup"
"Vestergade 6, 4872 Idestrup"
"Havlykkevej 15, 4872 Idestrup"
"Jasminvej 49, 4872 Idestrup"
"Skovduevejen 6, 4872 Idestrup"
"Ternevejen 19, 4872 Idestrup"
"Vestergade 7, 4872 Idestrup"
"Jasminvej 50, 4872 Idestrup"
"Skovduevejen 7, 4872 Idestrup"
"Ternevejen 21, 4872 Idestrup"
"Vestergade 9, 4872 Idestrup"
"Jasminvej 51, 4872 Idestrup"
"Skovduevejen 8, 4872 Idestrup"
"Ternevejen 23, 4872 Idestrup"
"Vestergade 11, 4872 Idestrup"
"Jasminvej 52, 4872 Idestrup"
"Skovduevejen 9, 4872 Idestrup"
"Ternevejen 25, 4872 Idestrup"
"Vestergade 12, 4872 Idestrup"
"Kystvej 1, 4872 Idestrup"
"Skovduevejen 10, 4872 Idestrup"
"Ternevejen 26, 4872 Idestrup"
"Vestergade 13, 4872 Idestrup"
"Jasminvej 54, 4872 Idestrup"
"Kystvej 2, 4872 Idestrup"
"Skovduevejen 11, 4872 Idestrup"
"Ternevejen 27, 4872 Idestrup"
"Vestergade 14, 4872 Idestrup"
"Kystvej 3, 4872 Idestrup"
"Jasminvej 55, 4872 Idestrup"
