"Nyvej 1, 4892 Kettinge"
"Nørrevej 35, 4892 Kettinge"
"Nyvej 2, 4892 Kettinge"
"Nyvej 3, 4892 Kettinge"
"Nyvej 7, 4892 Kettinge"
"Nyvej 9, 4892 Kettinge"
"Nyvej 5, 4892 Kettinge"
"Nyvej 6, 4892 Kettinge"
"Nyvej 8, 4892 Kettinge"
"Nyvej 4, 4892 Kettinge"
"Nyvej 10, 4892 Kettinge"
"Nyvej 12, 4892 Kettinge"
"Nyvej 13, 4892 Kettinge"
"Mosevej 1, 4892 Kettinge"
"Mosevej 4, 4892 Kettinge"
"Mejerivej 2, 4892 Kettinge"
"Mejerivej 4, 4892 Kettinge"
"Mosevej 2, 4892 Kettinge"
"Mosevej 6, 4892 Kettinge"
"Mejerivej 1, 4892 Kettinge"
"Mejerivej 3, 4892 Kettinge"
"Mejerivej 5, 4892 Kettinge"
"Mejerivej 7, 4892 Kettinge"
"Margrethelundsvej 3, Bregninge, 4892 Kettinge"
"Margrethelundsvej 4, Bregninge, 4892 Kettinge"
"Mallehavevej 14, 4892 Kettinge"
"Lienlundsvej 1, Nr Frejlev, 4892 Kettinge"
"Lienlundsvej 3, Nr Frejlev, 4892 Kettinge"
"Langet 2, 4892 Kettinge"
"Langet 3, 4892 Kettinge"
"Langet 9, 4892 Kettinge"
"Langet 4, 4892 Kettinge"
"Langet 8, 4892 Kettinge"
"Langet 11, 4892 Kettinge"
"Langet 16, 4892 Kettinge"
"Kolkevej 1, 4892 Kettinge"
"Kolkevej 4, 4892 Kettinge"
"Kolkevej 6A, 4892 Kettinge"
"Kolkevej 7A, 4892 Kettinge"
"Kolkevej 8A, 4892 Kettinge"
"Kolkevej 10, 4892 Kettinge"
"Kolkevej 12, 4892 Kettinge"
"Kolkevej 2, 4892 Kettinge"
"Kolkevej 3, 4892 Kettinge"
"Kolkevej 5, 4892 Kettinge"
"Kolkevej 6B, 4892 Kettinge"
"Kolkevej 7B, 4892 Kettinge"
"Kolkevej 9, 4892 Kettinge"
"Kolkevej 11, 4892 Kettinge"
"Kolkevej 17, 4892 Kettinge"
"Kolkevej 13, 4892 Kettinge"
"Kolkevej 15, 4892 Kettinge"
"Kolkevej 18, 4892 Kettinge"
"Kolkevej 29, 4892 Kettinge"
"Kolkevej 31, 4892 Kettinge"
"Knoldeholmsvej 2, Nr Frejlev, 4892 Kettinge"
"Knoldeholmsvej 4, Nr Frejlev, 4892 Kettinge"
"Knoldeholmsvej 6, Nr Frejlev, 4892 Kettinge"
"Klokkemosen 2, 4892 Kettinge"
"Klokkemosen 4, 4892 Kettinge"
"Klokkemosen 4B, 4892 Kettinge"
"Klokkemosen 6, 4892 Kettinge"
"Kildevej 2, Frejlev, 4892 Kettinge"
"Kildevej 3, Frejlev, 4892 Kettinge"
"Kildevej 5, Frejlev, 4892 Kettinge"
"Kildevej 8, Sløsserup, 4892 Kettinge"
"Kildevej 8A, Sløsserup, 4892 Kettinge"
