"Frederiksberggade 25B, st., 1459 København K"
"Frederiksberggade 21, kl. 5, 1459 København K"
"Frederiksberggade 3, 1459 København K"
"Frederiksberggade 25C, 1., 1459 København K"
"Frederiksberggade 36, 1459 København K"
"Frederiksberggade 29, 1. th, 1459 København K"
"Frederiksberggade 29, st. th, 1459 København K"
"Frederiksberggade 28, 3. th, 1459 København K"
"Frederiksberggade 10, 3., 1459 København K"
"Frederiksberggade 21, st. th, 1459 København K"
"Frederiksberggade 28B, 3., 1459 København K"
"Frederiksberggade 12A, 2. tv, 1459 København K"
"Frederiksberggade 29, 2., 1459 København K"
"Frederiksberggade 19, 1., 1459 København K"
"Frederiksberggade 28A, 1459 København K"
"Frederiksberggade 22, 1. th, 1459 København K"
"Frederiksberggade 28, st. th, 1459 København K"
"Frederiksberggade 25B, 4., 1459 København K"
"Frederiksberggade 21, 3. tv, 1459 København K"
"Frederiksberggade 25D, 1., 1459 København K"
"Frederiksberggade 14, 1459 København K"
"Frederiksberggade 25B, 2., 1459 København K"
"Frederiksberggade 28, 1. th, 1459 København K"
"Frederiksberggade 7, 1459 København K"
"Frederiksberggade 8, 1459 København K"
"Frederiksberggade 25A, st., 1459 København K"
"Frederiksberggade 25D, 3., 1459 København K"
"Frederiksberggade 40, 2., 1459 København K"
"Frederiksberggade 28B, 1., 1459 København K"
"Frederiksberggade 17A, 1459 København K"
"Frederiksberggade 21, st. tv, 1459 København K"
"Frederiksberggade 22, 2. tv, 1459 København K"
"Frederiksberggade 10, 1459 København K"
"Frederiksberggade 21, 3., 1459 København K"
"Frederiksberggade 3A, 1., 1459 København K"
"Frederiksberggade 34, 1459 København K"
"Frederiksberggade 10B, 1459 København K"
"Frederiksberggade 6, st. tv, 1459 København K"
"Frederiksberggade 15, 1459 København K"
"Frederiksberggade 21, kl., 1459 København K"
"Frederiksberggade 1, 5., 1459 København K"
"Frederiksberggade 22, st. tv, 1459 København K"
"Frederiksberggade 30, st., 1459 København K"
"Frederiksberggade 27, st. th, 1459 København K"
"Frederiksberggade 10B, 1459 København K"
"Frederiksberggade 1A, 1. tv, 1459 København K"
"Frederiksberggade 3B, 3., 1459 København K"
"Frederiksberggade 29, 3. th, 1459 København K"
"Frederiksberggade 21, 2. tv, 1459 København K"
"Frederiksberggade 12, 1459 København K"
"Frederiksberggade 25A, 2., 1459 København K"
"Frederiksberggade 29, 2. tv, 1459 København K"
"Frederiksberggade 11C, 1459 København K"
"Frederiksberggade 11A, st., 1459 København K"
"Frederiksberggade 11, 2., 1459 København K"
"Frederiksberggade 16, st., 1459 København K"
"Frederiksberggade 16, st. 1, 1459 København K"
"Frederiksberggade 16, st. 2, 1459 København K"
"Frederiksberggade 16, 3., 1459 København K"
"Frederiksberggade 16, 3. th, 1459 København K"
"Frederiksberggade 6, st., 1459 København K"
"Frederiksberggade 23, 1. tv, 1459 København K"
"Frederiksberggade 23, 1. th, 1459 København K"
"Frederiksberggade 23, 4., 1459 København K"
"Frederiksberggade 23, 1., 1459 København K"
"Frederiksberggade 23, 2. tv, 1459 København K"
"Frederiksberggade 23, st. th, 1459 København K"
"Frederiksberggade 23, 2. th, 1459 København K"
"Frederiksberggade 23, st. tv, 1459 København K"
"Frederiksberggade 2, 2. tv, 1459 København K"
"Frederiksberggade 2, 2. mf, 1459 København K"
"Frederiksberggade 2, 3. th, 1459 København K"
"Frederiksberggade 2, 3. mf, 1459 København K"
"Frederiksberggade 2, 2. th, 1459 København K"
"Frederiksberggade 2, 3. tv, 1459 København K"
"Frederiksberggade 2, 5., 1459 København K"
"Frederiksberggade 2, st., 1459 København K"
"Frederiksberggade 2, 1. mf, 1459 København K"
"Frederiksberggade 2, 4., 1459 København K"
"Frederiksberggade 2, 1. th, 1459 København K"
"Frederiksberggade 2, 1. tv, 1459 København K"
"Frederiksberggade 2, kl. 1, 1459 København K"
"Frederiksberggade 2, kl. 2, 1459 København K"
"Frederiksberggade 2, kl. 3, 1459 København K"
"Frederiksberggade 2, kl. 4, 1459 København K"
"Frederiksberggade 2, st. 1, 1459 København K"
"Frederiksberggade 2, st. 2, 1459 København K"
"Frederiksberggade 2, st. 3, 1459 København K"
"Frederiksberggade 2, st. 4, 1459 København K"
