"Saxogade 92, 3. tv, 1662 København V"
"Saxogade 41, 1. th, 1662 København V"
"Saxogade 92, 4. th, 1662 København V"
"Saxogade 41, 1. tv, 1662 København V"
"Saxogade 92, 4. tv, 1662 København V"
"Saxogade 41, 2. th, 1662 København V"
"Saxogade 92, 5. th, 1662 København V"
"Saxogade 41, 2. tv, 1662 København V"
"Saxogade 92, 5. tv, 1662 København V"
"Saxogade 41, 3. th, 1662 København V"
"Saxogade 94, st., 1662 København V"
"Saxogade 41, 3. tv, 1662 København V"
"Saxogade 94, 1. th, 1662 København V"
"Saxogade 41, 4. th, 1662 København V"
"Saxogade 94, 1. tv, 1662 København V"
"Saxogade 41, 4. tv, 1662 København V"
"Saxogade 94, 2. th, 1662 København V"
"Saxogade 43, st. th, 1662 København V"
"Saxogade 94, 2. tv, 1662 København V"
"Saxogade 43, st. tv, 1662 København V"
"Saxogade 94, 3. th, 1662 København V"
"Saxogade 43, 1. th, 1662 København V"
"Saxogade 94, 3. tv, 1662 København V"
"Saxogade 43, 1. tv, 1662 København V"
"Saxogade 94, 4. th, 1662 København V"
"Saxogade 43, 2. th, 1662 København V"
"Saxogade 94, 4. tv, 1662 København V"
"Saxogade 43, 2. tv, 1662 København V"
"Saxogade 94, 5. th, 1662 København V"
"Saxogade 43, 3. th, 1662 København V"
"Saxogade 94, 5. tv, 1662 København V"
"Saxogade 43, 3. tv, 1662 København V"
"Saxogade 105, st. 1, 1662 København V"
"Saxogade 43, 4. th, 1662 København V"
"Saxogade 105, st. 2, 1662 København V"
"Saxogade 43, 4. tv, 1662 København V"
"Saxogade 105, st. 3, 1662 København V"
"Saxogade 45, st. mf, 1662 København V"
"Saxogade 105, st. 4, 1662 København V"
"Saxogade 45, st. tv, 1662 København V"
"Saxogade 105, 1. 1, 1662 København V"
"Saxogade 45, 1. mf, 1662 København V"
"Saxogade 105, 1. 2, 1662 København V"
"Saxogade 45, 1. th, 1662 København V"
"Saxogade 105, 1. 3, 1662 København V"
"Saxogade 45, 1. tv, 1662 København V"
"Saxogade 105, 1. 4, 1662 København V"
"Saxogade 45, 2. mf, 1662 København V"
"Saxogade 105, 2. 1, 1662 København V"
"Saxogade 45, 2. th, 1662 København V"
"Saxogade 105, 2. 2, 1662 København V"
"Saxogade 45, 2. tv, 1662 København V"
"Saxogade 105, 2. 3, 1662 København V"
"Saxogade 45, 3. mf, 1662 København V"
"Saxogade 105, 2. 4, 1662 København V"
"Saxogade 45, 3. th, 1662 København V"
"Saxogade 105, 3. 1, 1662 København V"
