"Gl Skanderborgvej 116, Farre, 8472 Sporup"
"Gl Skanderborgvej 117, Farre, 8472 Sporup"
"Gl Skanderborgvej 119, Farre, 8472 Sporup"
"Gl Skanderborgvej 121, Farre, 8472 Sporup"
"Gl Skanderborgvej 121B, Farre, 8472 Sporup"
"Gl Skanderborgvej 121C, Farre, 8472 Sporup"
"Gl Skanderborgvej 123, Farre, 8472 Sporup"
"Gl Skanderborgvej 125, Farre, 8472 Sporup"
"Gl Skanderborgvej 127, Farre, 8472 Sporup"
"Gl Skanderborgvej 129, Farre, 8472 Sporup"
"Gl Skanderborgvej 130, Farre, 8472 Sporup"
"Gl Skanderborgvej 131, Farre, 8472 Sporup"
"Gl Skanderborgvej 132, Farre, 8472 Sporup"
"Gl Skanderborgvej 133, Farre, 8472 Sporup"
"Gl Skanderborgvej 134, Farre, 8472 Sporup"
"Rampes Møllevej 75, 8472 Sporup"
"Gl Skanderborgvej 136, Farre, 8472 Sporup"
"Gl Skanderborgvej 137, Farre, 8472 Sporup"
"Gl Skanderborgvej 138, Farre, 8472 Sporup"
"Gl Skanderborgvej 139, Farre, 8472 Sporup"
"Gl Skanderborgvej 141, Farre, 8472 Sporup"
"Gl Skanderborgvej 142, Farre, 8472 Sporup"
"Gl Skanderborgvej 145, Farre, 8472 Sporup"
"Gl Skanderborgvej 145A, Farre, 8472 Sporup"
"Gl Skanderborgvej 147, Farre, 8472 Sporup"
"Gl Skanderborgvej 149, Farre, 8472 Sporup"
"Silkeborgvej 15, Farre, 8472 Sporup"
"Gl Skanderborgvej 153, Farre, 8472 Sporup"
"Silkeborgvej 29, Farre, 8472 Sporup"
"Silkeborgvej 70, 8472 Sporup"
"Silkeborgvej 72, 8472 Sporup"
"Silkeborgvej 74, 8472 Sporup"
"Silkeborgvej 76, 8472 Sporup"
"Silkeborgvej 78, 8472 Sporup"
"Silkeborgvej 80, 8472 Sporup"
"Silkeborgvej 82, 8472 Sporup"
"Silkeborgvej 87, 8472 Sporup"
"Silkeborgvej 92, 8472 Sporup"
"Silkeborgvej 107, Røgen, 8472 Sporup"
"Silkeborgvej 109, Røgen, 8472 Sporup"
"Anbækgårdsvej 40, Farre, 8472 Sporup"
"Silkeborgvej 111, Røgen, 8472 Sporup"
"Sporup Kirkevej 2, Farre, 8472 Sporup"
"Silkeborgvej 145, Røgen, 8472 Sporup"
"Sporup Kirkevej 3, Farre, 8472 Sporup"
"Silkeborgvej 147, Røgen, 8472 Sporup"
"Sporup Kirkevej 4, Farre, 8472 Sporup"
"Sporup Kirkevej 5, Farre, 8472 Sporup"
"Silkeborgvej 159, Røgen, 8472 Sporup"
"Sporup Kirkevej 35, Farre, 8472 Sporup"
"Silkeborgvej 159A, Røgen, 8472 Sporup"
"Sporup Kirkevej 40, Farre, 8472 Sporup"
"Sporup Kirkevej 50, Farre, 8472 Sporup"
"Silkeborgvej 171, Røgen, 8472 Sporup"
"Sporup Kirkevej 70, 8472 Sporup"
"Silkeborgvej 173, Røgen, 8472 Sporup"
"Sporup Kirkevej 79, 8472 Sporup"
"Silkeborgvej 178, Røgen, 8472 Sporup"
"Sporup Kirkevej 80, 8472 Sporup"
"Silkeborgvej 179, Røgen, 8472 Sporup"
