"Allerupvej 4, Brobyværk, 5672 Broby"
"Brandholmvej 3, Ståby, 5672 Broby"
"Ellevænget 5, V Hæsinge, 5672 Broby"
"Fåborgvej 12, Nr Broby, 5672 Broby"
"Karlsbjergvej 41, Sdr Broby, 5672 Broby"
"Lærkevej 22, Allested, 5672 Broby"
"Nørregade 4, Sh Lyndelse, 5672 Broby"
"Rosenvænget 25, Nr Broby, 5672 Broby"
"Spurvelunden 102, Vejle, 5672 Broby"
"Søndergade 5A, Sh Lyndelse, 5672 Broby"
"Vestergade 46, V Hæsinge, 5672 Broby"
"Østergade 98, 1. b, Allested, 5672 Broby"
"Allerupvej 6, Brobyværk, 5672 Broby"
"Brandholmvej 3B, Ståby, 5672 Broby"
"Ellevænget 6, V Hæsinge, 5672 Broby"
"Fåborgvej 14, Nr Broby, 5672 Broby"
"Karlsbjergvej 43, Sdr Broby, 5672 Broby"
"Lærkevej 23, Allested, 5672 Broby"
"Rosenvænget 27, Nr Broby, 5672 Broby"
"Stationsvej 1, Nr Broby, 5672 Broby"
"Søndergade 6, Sh Lyndelse, 5672 Broby"
"Vestergade 47, V Hæsinge, 5672 Broby"
"Østergade 98, 1. c, Allested, 5672 Broby"
"Allerupvej 10, Allerup, 5672 Broby"
"Brandholmvej 4, Ståby, 5672 Broby"
"Ellevænget 7, V Hæsinge, 5672 Broby"
"Fåborgvej 16, Nr Broby, 5672 Broby"
"Kasbækvej 2, Nr Broby, 5672 Broby"
"Lærkevej 24, Allested, 5672 Broby"
"Nørregade 6, Sh Lyndelse, 5672 Broby"
"Rosenvænget 29, Nr Broby, 5672 Broby"
"Stationsvej 2, Nr Broby, 5672 Broby"
"Søndergade 7, Sh Lyndelse, 5672 Broby"
"Vestergade 48, V Hæsinge, 5672 Broby"
"Østergade 99, Allested, 5672 Broby"
"Allerupvej 11, Allerup, 5672 Broby"
"Brandholmvej 5, Ståby, 5672 Broby"
"Ellevænget 8, V Hæsinge, 5672 Broby"
"Fåborgvej 18, Nr Broby, 5672 Broby"
"Kasbækvej 3, Nr Broby, 5672 Broby"
"Maevej 1, Ølsted, 5672 Broby"
"Nørregade 7, Sh Lyndelse, 5672 Broby"
"Rosenvænget 31, Nr Broby, 5672 Broby"
"Stationsvej 3, Nr Broby, 5672 Broby"
"Søndergade 9, Sh Lyndelse, 5672 Broby"
"Vestergade 50, V Hæsinge, 5672 Broby"
"Østergade 100A, Allested, 5672 Broby"
"Allerupvej 12, Allerup, 5672 Broby"
"Brandholmvej 6, Ståby, 5672 Broby"
"Ellevænget 9, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 2, Gl Stenderup, 5672 Broby"
"Kasbækvej 4, Nr Broby, 5672 Broby"
"Maevej 2, Ølsted, 5672 Broby"
"Nørregade 8, Sh Lyndelse, 5672 Broby"
"Rosenvænget 33, Nr Broby, 5672 Broby"
"Stationsvej 5, Nr Broby, 5672 Broby"
"Vestergade 52, V Hæsinge, 5672 Broby"
"Østergade 100C, Allested, 5672 Broby"
"Allerupvej 14, Allerup, 5672 Broby"
"Brandholmvej 7, Ståby, 5672 Broby"
"Ellevænget 10, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 3, Gl Stenderup, 5672 Broby"
"Kasbækvej 6, Nr Broby, 5672 Broby"
"Maevej 3, Ølsted, 5672 Broby"
"Nørregade 9, Sh Lyndelse, 5672 Broby"
"Rosenvænget 35, Nr Broby, 5672 Broby"
"Stationsvej 6, Nr Broby, 5672 Broby"
"Søndergade 11, Sh Lyndelse, 5672 Broby"
