"Brogade 7E, st., 4600 Køge"
"Blommehaven 36, 4600 Køge"
"Blommehaven 37, 4600 Køge"
"Blommehaven 38, 4600 Køge"
"Blommehaven 39, 4600 Køge"
"Blommehaven 40, 4600 Køge"
"Blommehaven 41, 4600 Køge"
"Blommehaven 42, 4600 Køge"
"Blommehaven 43, 4600 Køge"
"Blommehaven 44, 4600 Køge"
"Blommehaven 45, 4600 Køge"
"Blommehaven 46, 4600 Køge"
"Blommehaven 47, 4600 Køge"
"Blommehaven 48, 4600 Køge"
"Blommehaven 49, 4600 Køge"
"Blommehaven 50, 4600 Køge"
"Blommehaven 51, 4600 Køge"
"Blommehaven 52, 4600 Køge"
"Blommehaven 53, 4600 Køge"
"Blommehaven 54, 4600 Køge"
"Blommehaven 55, 4600 Køge"
"Blommehaven 56, 4600 Køge"
"Blommehaven 57, 4600 Køge"
"Blommehaven 58, 4600 Køge"
"Blommehaven 59, 4600 Køge"
"Blommehaven 60, 4600 Køge"
"Blommehaven 61, 4600 Køge"
"Blommehaven 62, 4600 Køge"
"Blommehaven 64, 4600 Køge"
"Blommehaven 65, 4600 Køge"
"Blommehaven 66, 4600 Køge"
"Blommehaven 67, 4600 Køge"
"Blommehaven 68, 4600 Køge"
"Blommehaven 69, 4600 Køge"
"Blommehaven 70, 4600 Køge"
"Blommehaven 71, 4600 Køge"
"Blommehaven 72, 4600 Køge"
"Blommehaven 73, 4600 Køge"
"Blommehaven 74, 4600 Køge"
"Blommehaven 75, 4600 Køge"
"Blommehaven 76, 4600 Køge"
"Tangmosevej 106, 4600 Køge"
"Padborgvej 4, 4600 Køge"
"Tordenskjoldsgade 12A, 4600 Køge"
"Tordenskjoldsgade 12B, 4600 Køge"
"Ågade 1, 4600 Køge"
"Galoche Alle 2, 4600 Køge"
"Galoche Alle 6, 4600 Køge"
"Kirkestræde 23, 1. th, 4600 Køge"
"Kirkestræde 23, st. tv, 4600 Køge"
"Kirkestræde 23, st. th, 4600 Køge"
"Kirkestræde 23, 1. tv, 4600 Køge"
"Kirkestræde 23A, 1., 4600 Køge"
"Kirkestræde 23A, st., 4600 Køge"
"Theilgaards Torv 6, 4600 Køge"
"Valdemarshaab 10A, 4600 Køge"
"Valdemarshaab 10B, 4600 Køge"
"Valdemarshaab 10C, 4600 Køge"
"Ølbyvej 20, 4600 Køge"
"Nørregade 12C, 1. tv, 4600 Køge"
"Nørregade 12C, tv, 4600 Køge"
"Nørregade 12C, 1. th, 4600 Køge"
"Nørregade 12C, th, 4600 Køge"
"Åhavnen 50, 4600 Køge"
"Åhavnen 57, 4600 Køge"
